사업장번호,사업장명,납부자번호,팩스번호,수신건수,최초수신일,최근수신일,예시파일명(최대3개),매칭비고
BPD110111100,고읍휴먼시아7단지,0102-28018-0999,0318420775,1,2026-06-26,2026-06-26,0318420775_20260626095133.tif,"매칭후보(확인필요,account_name,0.90): (의정부)고읍주공7단지 / 양주고읍7단지/고읍휴먼시아7단지(999동102호) 양주고읍휴먼시아7단지 [사업장번호:BPD110111100] | Claude교차확인 추가후보(1.04): BPD110110566 (의정부)고읍휴먼시아5단지(900-2)(계좌명:양주고읍휴먼시아5단지(900동2호)) 추정지역:의정부"
BPD110109928,LH양주고읍6단지,0101-79036-0999,0318423525,1,2026-06-23,2026-06-23,0318423525_20260623104308.tif,"매칭후보(확인필요,account_name,0.80): (의정부)고읍주공8단지 / 양주고읍8단지(999동101호) [사업장번호:BPD110110416]"
BPD110110546,양주고읍4단지,,0318423595,1,2026-06-23,2026-06-23,0318423595_20260623135349.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)고읍주공4단지 / 양주고읍4단지"
BPD110110566,양주고읍휴먼시아5단지,,0318423719,1,2026-06-22,2026-06-22,0318423719_20260622101413.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)고읍휴먼시아5단지(900-2) / 양주고읍휴먼시아5단지(900동2호)"
BPD110137533,우미쁘띠린1차,0101-76304-0009,0318427302,2,2026-06-22,2026-06-22,0318427302_20260622140353.tif; 0318427302_20260622140558.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)우미쁘띠린1차 / 의정부우미쁘띠린1차 / -> 없는번호"
BPD110110416,양주고읍8단지,0101-65425-0999,0318435688,1,2026-06-23,2026-06-23,0318435688_20260623152335.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)고읍주공8단지 / 양주고읍8단지(999동101호)"
BPS010402045,신곡삼환,0104-76004-9999,0318436084,1,2026-06-22,2026-06-22,0318436084_20260622092834.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)신곡삼환 / 신곡삼환아파트"
BPS010402059,신성벽산아파트,,0318439821,1,2026-06-09,2026-06-09,0318439821_20260609135000.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,0.96): (구리-덕소)벽산_아파트 / 덕소벽산아파트 [사업장번호:BPS010405027] | Claude교차확인 추가후보(0.95): BPS010402059 (의정부)신곡신성벽산(계좌명:(의정부)신곡신성벽산) 추정지역:의정부"
BPD110205445,의정부제일시장,,0318442617,1,2026-06-19,2026-06-19,0318442617_20260619111553.tif,"자동매칭(고신뢰,account_name,0.95): 경중앙(제일시장BBC) / 사단법인의정부제일시장"
BPS010402043,신곡서해아파트,0124-76302-0112,0318443744,1,2026-06-23,2026-06-23,0318443744_20260623102901.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)신곡서해 / 신곡서해아파트(112동124호)"
BPS010402052,신곡현대아파트,,0318450958,1,2026-06-19,2026-06-19,0318450958_20260619134529.tif,"자동매칭(고신뢰,site_name,0.94): (의정부)신곡현대 / 신곡현대(9999동103호)"
BPD110106495,신곡대우아파트,,0318460613,5,2026-06-01,2026-06-23,0318460613_20260601142543.tif; 0318460613_20260601161025.tif; 0318460613_20260602102631.tif,"자동매칭(고신뢰,site_name,0.94): (의정부)신곡대우 / 신곡대우(8888동104호)"
BPD110106626,청학1단지주공아파트,,0318461339,2,2026-06-22,2026-06-22,0318461339_20260622143148.tif; 0318461339_20260622143656.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)청학주공1단지 / 청학1단지주공아파트"
BPD110137122,양주자이프라자1차,9902-40725-9999,0318463823,1,2026-06-23,2026-06-23,0318463823_20260623135357.tif,"자동매칭(고신뢰,account_name,0.92): (의정부)양주프라자1차127-80-29828 / 양주자이프라자1차(1동9902호) 1278029828"
BPD110106634,우암센스뷰,0102-93977-0999,0318470158,1,2026-06-26,2026-06-26,0318470158_20260626170420.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)금오우암센스뷰 / 우암센스뷰(999동102호)"
BPD110106458,가재울일신건영휴먼빌,0001-76996-8888,0318471262,1,2026-06-24,2026-06-24,0318471262_20260624110721.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)가능가재울일신건영휴먼빌 / 가재울일신건영휴먼빌(8888동1호)"
BPD110106664,"양주프라자3,4차",,0318475989,2,2026-06-02,2026-06-23,0318475989_20260602101218.tif; 0318475989_20260623133122.tif,"자동매칭(고신뢰,account_name,0.91): [의정부]양주프라자 3차(0101호)(516-86-02152) 김미영 / 양주프라자3,4차관리단(금호환경산업) / 4508703426"
BPD110106606,양주성우아침의미소,0001-76724-9999,0318477371,1,2026-06-22,2026-06-22,0318477371_20260622092753.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)삼숭성우아침에 미소 / 양주성우아침의미소(9999동1호)"
BPS010402094,은하수아파트,,0318480457,1,2026-06-19,2026-06-19,0318480457_20260619102901.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 은하수아파트 / 엑셀사업장명:(의정부)신곡은하수 / 계좌명:은하수아파트 [사업장번호:BPS010402094]"
BPS010402026,금오거성아파트,,0318485547,1,2026-06-15,2026-06-15,0318485547_20260615154954.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)금오거성 / 금오거성아파트"
BPS010402054,신곡성원1차,0005-76120-9999,0318487871,1,2026-06-19,2026-06-19,0318487871_20260619141145.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)신곡성원1차 / 신곡성원1차(9999동5호,9호)"
BPD110106734,건영캐스빌아파트관리사무소,,0318521856,1,2026-06-22,2026-06-22,0318521856_20260622085651.tif,"자동매칭(고신뢰,site_name,0.94): (의정부)건영캐스빌아파트 / 용현동건영캐스빌(8888동1호) / 두달분아닌데 두달분으로 날짜입력했네???"
BPD110106616,금오현대IPark,0001-76264-9999,0318527172,1,2026-06-23,2026-06-23,0318527172_20260623091215.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)금오현대아이파크 / 금오현대Ipark(9999동1호)"
BPD110106412,탑석드림캐슬,0101-79471-0999,0318527506,1,2026-06-22,2026-06-22,0318527506_20260622095243.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)탑석드림캐슬 / 송산주공4단지999동101호"
BPD110106654,세명프라자,,0318527587,1,2026-06-11,2026-06-11,0318527587_20260611100346.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): [의정부]신곡세명프라자302호(127-47-49074=>851-88-01633) / 엑셀사업장명:[의정부]신곡세명프라자302호(127-47-49074=>851-88-01633) / 계좌명:신우비엠(851-88-01633) 8518801633 [사업장번호:BPD110106654]"
BPD110106451,금오주공그린빌1단지,0101-93089-9999,0318528572,1,2026-06-18,2026-06-18,0318528572_20260618140141.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)금오주공그린빌1단지 / 금오주공그린빌1단지(9999동101호)"
BPS010407030,용현그랜드아파트,0001-76075-6666,0318529606,1,2026-06-23,2026-06-23,0318529606_20260623135129.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)용현그랜드 / 용현그랜드아파트(6666동1호)"
BPD110209716,낙양폴리프라자4,,0318530351,2,2026-05-27,2026-06-26,0318530351_20260527111149.tif; 0318530351_20260626151804.tif,"자동매칭(고신뢰,account_name,1.00): 동의정부(폴리프라자4) / 낙양폴리프라자4(1001호)"
BPD110210770,용현애디안주상복합,0101800399999,0318532250,1,2026-06-24,2026-06-24,0318532250_20260624181233.tif,"자동매칭(고신뢰,site_name,0.92): 용현애디안주상복합9999동101호 / ㈜덕우"
BPD110106621,금오주공3단지 아파트 관리사무소,,0318532641,1,2026-06-15,2026-06-15,0318532641_20260615142025.tif,"자동매칭(고신뢰,site_name,0.92): (의정부)금오주공3단지 / 금오주공3단지"
BPD110106653,비콘드림씨티 오피스텔,0101-85354-0301,0318533444,1,2026-06-18,2026-06-18,0318533444_20260618093703.tif,"자동매칭(고신뢰,account_name,1.00): [의정부]비콘드림시티 / 비콘드림씨티오피스텔(301동101호)"
BPD110188829,민락폴리프라자,,0318533544,1,2026-06-24,2026-06-24,0318533544_20260624082429.tif,"자동매칭(고신뢰,site_name,1.00): (동의정부)민락폴리프라자 (고지서) / 폴리프라자(1001호)"
BPD110106651,금오센타프라자,,0318535492,2,2026-05-28,2026-06-26,0318535492_20260528152146.tif; 0318535492_20260626152000.tif,"자동매칭(고신뢰,site_name,0.91): [의정부]금오센타프라자(851-88-01633) / 8518801633 / ㈜신우비엠 1동01호 031-853"
BPD110215772,STATION615,9991988570001,0318535916,1,2026-06-16,2026-06-16,0318535916_20260616155152.tif,"매칭후보(확인필요-단지/차 번호 불일치,site_name,0.92): STATION615 1동9991호, 9992호 / 동의정부(스테이션615)1동9991호, 9992호 [사업장번호:BPD110215772]"
BPD110106544,용현11차 신도브래뉴plus,,0318536231,1,2026-06-18,2026-06-18,0318536231_20260618145615.tif,"매칭후보(확인필요,account_name,0.85): (의정부)용현11차신도브래뉴플러스 / 용현동신도브래뉴PLUS [사업장번호:BPD110106544]"
BPD110106628,민락e-편한세상아파트,,0318539108,2,2026-06-19,2026-06-19,0318539108_20260619111427.tif; 0318539108_20260619112944.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)민락이편한세상 / 민락e-편한세상아파트"
BPD110106612,녹양힐스테이트 아파트,0101-01919-0999,0318550602,1,2026-06-24,2026-06-24,0318550602_20260624103147.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)녹양힐스테이트 / 녹양힐스테이트아파트(999동101호)"
BPD110106623,의정부에스케이-뷰,0001-76979-9999,0318550612,1,2026-06-23,2026-06-23,0318550612_20260623103526.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)의정부에스케이-뷰 / 의정부에스케이-뷰(9999동1호)  의정부가능sk뷰"
BPD110106607,의정부호원흥화브라운빌,0001-10393-0999,0318550841,1,2026-06-22,2026-06-22,0318550841_20260622165225.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)호원흥화브라운빌(999-1) / 의정부호원흥화브라운빌(999동1호)"
BPS010411081,송추푸른마을,0102-76331-8888,0318551640,1,2026-06-23,2026-06-23,0318551640_20260623134911.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)송추푸른마을 / 송추푸른마을(8888동102호)"
BPS010411046,동화3차아파트,,0318552352,2,2026-06-24,2026-06-24,0318552352_20260624103746.tif; 0318552352_20260624154011.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)백석동화3차 / 동화3차아파트"
BPS010411050,백석가야5차,0001-78175-0999,0318559138,1,2026-06-23,2026-06-23,0318559138_20260623100753.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)백석가야5차(써니빌) / 백석가야5차(999동1호)"
BPD110106373,주식회사 세움인(성지에스앤비타워),9909115020001,0318599504,1,2026-06-22,2026-06-22,0318599504_20260622152031.tif,"자동매칭(고신뢰,account_name,0.98): (동두천)-지행 성지S&B-E017(130-81-95641) / 주식회사 세움(1동9909호,성지에스앤비타워)"
BPS010406040,동두천상패주공아파트,,0318612375,1,2026-06-22,2026-06-22,0318612375_20260622153559.tif,"자동매칭(고신뢰,account_name,1.00): (동두천)_상패주공_아파트(V023) / 동두천상패주공아파트"
BPD110106375,양주패션칼라산업단지입주기업체협의회,,0318613509,1,2026-06-22,2026-06-22,0318613509_20260622134746.tif,"자동매칭(고신뢰,site_name,0.93): (동두천)_양주패션칼라산업단지 / 양주패션칼라산업단지"
,,,0318616323,2,2026-06-24,2026-06-24,0318616323_20260624145545.tif; 0318616323_20260624150427.tif,"복구불가(빈 팩스, 세로 40px) - 헤더 한 줄만 수신되고 본문 없음."
BPD110106341,세창리베하우스,0001-76905-9999,0318624705,1,2026-06-22,2026-06-22,0318624705_20260622145638.tif,"자동매칭(고신뢰,account_name,1.00): (동두천)-옥정세창-아파트(E005 / 세창리베하우스(9999동1호)"
BPS010406042,동두천건영아파트,,0318660081,1,2026-06-22,2026-06-22,0318660081_20260622091842.tif,"자동매칭(고신뢰,account_name,1.00): (동두천)_생연건영_아파트(V008) / 동두천건영아파트(999동102호)"
BPD110107195,동두천월드메르디앙,0101-03243-0999,0318666032,1,2026-06-23,2026-06-23,0318666032_20260623142708.tif,"자동매칭(고신뢰,account_name,1.00): (동두천)_월드메르디앙 / 동두천월드메르디앙(999동101호)"
BPD110186658,동두천뜨란채지행주공2단지,0002-76914-9999,0318674094,1,2026-06-19,2026-06-19,0318674094_20260619162050.tif,"자동매칭(고신뢰,account_name,1.00): 동두천-지행주공2차 / 동두천뜨란채지행주공2단지(9999동2호)"
BPS010406063,에이스2차아파트,1000-76022-9999,0318677873,1,2026-06-17,2026-06-17,0318677873_20260617142200.tif,"자동매칭(고신뢰,site_name,1.00): (동두천)_에이스2차_아파트 / 에이스2차아파트(9999동1000호)"
BPS010406046,상우아파트관리사무소,,0318683434,1,2026-06-19,2026-06-19,0318683434_20260619154719.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),account_name,0.92): (동두천)_생연상우_아파트(V014) / 상우아파트 [사업장번호:BPS010406046] | Claude교차확인 추가후보(0.71): BPS010208007 (파주)경신아파트관리사무소(계좌명:경신아파트) 추정지역:동두천"
BPS010406066,에이스5차 아파트 관리사무소,,0318686435,1,2026-06-17,2026-06-17,0318686435_20260617131453.tif,"자동매칭(고신뢰,site_name,0.94): (동두천)_에이스5차_아파트(V021) / 에이스5차아파트"
BPD110106503,장암동신현대아파트,0005782427777,0318716836,1,2026-06-24,2026-06-24,0318716836_20260624103315.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)장암동신현대 / 장암동신현대아파트(7777동5호)"
BPD110106615,호원가든1차,0104-71272-0999,0318718398,1,2026-06-22,2026-06-22,0318718398_20260622093247.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)호원가든1차 / 호원가든1차(999동104호) 월납/468kwh, 120,000원/ 월정액으로 변경"
BPD110106657,제일퍼스트빌III입주자대표회의,,0318732955,2,2026-05-27,2026-06-26,0318732955_20260527164933.tif; 0318732955_20260626112951.tif,"엑셀 매칭 실패 - 수동 확인 필요 | Claude교차확인 추가후보(0.66): BPD110106657 (의정부)제일퍼스트빌3, 234-82-72501 2348272501(계좌명:제일퍼스트빌III(9999동101호)) 추정지역:의정부"
BPD110118436,신한헤스티아1,0101765700009,0318735990,1,2026-06-22,2026-06-22,0318735990_20260622105327.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)신한헤스티아1(9-101) / 신한헤스티아1(9동101호)"
BPD110110562,신도101,0102-19107-0999,0318739336,1,2026-06-26,2026-06-26,0318739336_20260626141306.tif,"자동매칭(고신뢰,site_name,0.92): (의정부)호원신도101아파트 / 신도101(999동102호) sk꺼와 착각"
BPD110106518,신도5차,0001-76093-9999,0318749983,1,2026-06-25,2026-06-25,0318749983_20260625112445.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)호원신도5차 / 신도5차(9999동1호)"
BPD110106601,월드한아름,0001-76057-9999,0318753835,1,2026-06-25,2026-06-25,0318753835_20260625132134.tif,"자동매칭(고신뢰,site_name,0.96): (의정부)호원월드한아름 / 월드한아름아파트9999동1호"
BPD110109618,아크라티움,,0318762344,1,2026-06-22,2026-06-22,0318762344_20260622134758.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)아크라티움 / 아크라티움(999동105호)"
BPD110106402,의정부녹양현대,0101-01188-9999,0318762560,1,2026-06-15,2026-06-15,0318762560_20260615091525.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)녹양현대9999동101호 / 의정부녹양현대"
BPD110106463,호원신도4차아파트,,0318765063,1,2026-06-12,2026-06-12,0318765063_20260612081614.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)호원신도4차 / 호원신도4차아파트"
BPD110108730,호원우남2차,0001-93155-0999,0318768883,1,2026-06-18,2026-06-18,0318768883_20260618154837.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)호원우남2차 / 호원우남2차(999동1호)"
BPD110106593,신도7차,0105-76-31-0999,0318771350,1,2026-06-19,2026-06-19,0318771350_20260619131544.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)호원신도7차 / 신도7차(999동 105호,106호)"
BPS010411072,양주가야2차,0006-76030-9999,0318774330,1,2026-06-19,2026-06-19,0318774330_20260619135113.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)백석가야2차 / 양주가야2차(9999동6호)"
BPD110106520,호원가든2차,0102-76338-0999,0318783475,1,2026-06-22,2026-06-22,0318783475_20260622100244.tif,"자동매칭(고신뢰,site_name,1.00): (의정부)호원가든2차(999-102) / 호원가든2차(999동102호)"
BPS010411164,가능신동아,0101924379999,0318784700,1,2026-06-18,2026-06-18,0318784700_20260618170839.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)가능신동아파라디움 / 가능신동아(9999동101호)"
BPD110106470,한주5차아파트,0001-76215-0999,0318788036,1,2026-06-23,2026-06-23,0318788036_20260623112331.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)호원한주5차 / 한주5차아파트(연체료없음)"
BPD110106658,의정부대정프라자,,0318792557,2,2026-05-27,2026-06-25,0318792557_20260527144707.tif; 0318792557_20260625131910.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,0.94): (의정부)대정프라자 / 의정부대정프라자1112호 [사업장번호:BPD110106658] | Claude교차확인 추가후보(0.75): BPD110213829 의정부(도봉산아르쥬)(계좌명:아르쥬(이유나)) 추정지역:불명"
BPD110147991,아이다빌,0999297130001,0318899603,2,2026-05-28,2026-06-26,0318899603_20260528134213.tif; 0318899603_20260626103530.tif,"매칭후보(확인필요,account_name,0.75): (동두천)-E326-어나더월드(아이다빌) / 아이다빌(999호) [사업장번호:BPD110147991]"
BPD110156517,일산두산위브더제니스,0107-29278-0999,0319007901,1,2026-06-22,2026-06-22,0319007901_20260622180842.tif,"자동매칭(고신뢰,account_name,1.00): (일산)두산위브더제니스 / 일산두산위브더제니스(999동107호)"
BPS010201064,삼성라끄빌,7701781430001,0319008445,1,2026-06-17,2026-06-17,0319008445_20260617140851.tif,"엑셀 매칭 실패 - 수동 확인 필요 | Claude교차확인 추가후보(0.59): BPD110106143 [일산]성암빌딩(128-25-10959)(계좌명:성암,61kw) 추정지역:일산"
BPS010201025,동양메이저타워,,0319011417,1,2026-06-26,2026-06-26,0319011417_20260626092101.tif,"자동매칭(고신뢰,site_name,1.00): (일산)동양메이저타워 / 동양메이저타워(9901호)"
BPS010201002,강촌1단지 동아아파트,,0319013146,1,2026-06-19,2026-06-19,0319013146_20260619100600.tif,"자동매칭(고신뢰,account_name,1.00): (일산)강촌1동아_아파트 / 강촌1단지동아아파트"
BPS010201048,백석우림보보카운티,9901-11286-0001,0319019093,1,2026-06-18,2026-06-18,0319019093_20260618142208.tif,"자동매칭(고신뢰,site_name,1.00): (일산)백석우림보보카운티 / 백석우림보보카운티(9901호)"
BPD110106281,양지마을1단지,,0319019946,1,2026-06-01,2026-06-01,0319019946_20260601085845.tif,"자동매칭(고신뢰,account_name,1.00): (일산)양지마을1단지건영빌라 / 양지마을1단지"
BPD110162347,드림월드,,0319019972,1,2026-06-23,2026-06-23,0319019972_20260623151650.tif,"매칭후보(확인필요,site_name,0.88): (일산)드림월드_901-2호601-82-72619 / 드림월드관리단운영위원회(전자) 6018272619 [사업장번호:BPD110162347] | Claude교차확인 추가후보(0.59): BPD110106302 (일산)우경드림빌(탄현동)(계좌명:B01호KT) 추정지역:일산"
BPS010201078,양우드라마시티,0001-78251-7777,0319020714,1,2026-06-18,2026-06-18,0319020714_20260618134016.tif,"자동매칭(고신뢰,site_name,1.00): (일산)양우드라마시티 / 양우드라마시티(7777동1호)"
BPS010201005,강촌라이프1차,0104-10133-6661,0319021008,1,2026-06-19,2026-06-19,0319021008_20260619092918.tif,"자동매칭(고신뢰,account_name,1.00): (일산)강촌5-1라이프_아파트 / 강촌라이프1차(6661동104호)"
BPS010201032,일산로데오탑,,0319029867,1,2026-06-17,2026-06-17,0319029867_20260617144300.tif,엑셀 매칭 실패 - 수동 확인 필요 | Claude교차확인 추가후보(0.82): BPS010201032 [일산]고양로데오탑(112-81-39490신)(계좌명:아산종합관리(주) 1128139490) 추정지역:일산
BPD110107036,풍동숲속마을1단지,0102-02410-0999,0319031780,1,2026-06-17,2026-06-17,0319031780_20260617104745.tif,"자동매칭(고신뢰,account_name,1.00): (일산)숲속1단지주공 / 풍동숲속마을1단지(999동102호)"
BPS010201051,백송대림아파트,0007-37348-0999,0319032572,1,2026-06-22,2026-06-22,0319032572_20260622161820.tif,"자동매칭(고신뢰,account_name,1.00): (일산)백송2단지 대림_아파트 / 백송대림아파트(999동7호)"
BPS010201031,코오롱레이크폴리스1차,0101032520003,0319033164,1,2026-06-24,2026-06-24,0319033164_20260624093223.tif,"자동매칭(고신뢰,site_name,1.00): (일산)코오롱 레이크폴리스1차 / 코오롱레이크폴리스1차(C동101호)"
BPS010201058,백송두산,0105-92104-9999,0319033593,1,2026-06-22,2026-06-22,0319033593_20260622095728.tif,"매칭후보(확인필요,site_name,0.90): (일산)백송두산 9999동105호 / 백송9단지두산아파트 [사업장번호:BPS010201058]"
BPS010201111,일산호수마을2단지,0102-75644-0888,0319037268,1,2026-06-18,2026-06-18,0319037268_20260618103011.tif,"자동매칭(고신뢰,account_name,1.00): (일산)호수2현대 / 일산호수마을2단지(888동102호)"
BPD110106158,백송10단지 건영빌라아파트,,0319039094,1,2026-06-02,2026-06-02,0319039094_20260602114634.tif,"자동매칭(고신뢰,account_name,1.00): (일산)백송10단지건영 / 백송10단지건영빌라아파트"
BPD110113855,라이저오피스텔,9904,0319042132,1,2026-06-23,2026-06-23,0319042132_20260623154118.tif,"매칭후보(확인필요,account_name,0.88): (일산)라이저빌딩 / 라이저오피스텔(9904호)전자212-81-55882. 24일발급. 27일까지 지출해달래 [사업장번호:BPD110113855]"
BPS010201006,강촌마을라이프2차,0101-70160-9999,0319042763,1,2026-06-23,2026-06-23,0319042763_20260623150849.tif,"자동매칭(고신뢰,account_name,0.91): (일산)강촌5-2라이프_아파트 / 강촌마을라이프2차아파트9999동101호"
BPS010201008,일산강촌7단지,0102-75573-0888,0319043514,1,2026-06-19,2026-06-19,0319043514_20260619140230.tif,"매칭후보(확인필요,account_name,0.75): (일산)강촌8우방_아파트 / 일산강촌8단지우방(7777동4호) [사업장번호:BPS010201009] | Claude교차확인 추가후보(0.98): BPS010201008 (일산)강촌7단지(코오롱)아파트(계좌명:(일산)강촌7단지아파트) 추정지역:일산"
BPS010201003,강촌마을한신,0002-01070-8888,0319044155,2,2026-06-23,2026-06-23,0319044155_20260623133531.tif; 0319044155_20260623133728.tif,"자동매칭(고신뢰,account_name,1.00): (일산)강촌2단지한신_아파트 / 강촌마을한신(8888동2호)"
BPS010201009,일산강촌8단지우방,0004-78092-7777,0319044431,1,2026-06-17,2026-06-17,0319044431_20260617143358.tif,"자동매칭(고신뢰,account_name,1.00): (일산)강촌8우방_아파트 / 일산강촌8단지우방(7777동4호)"
BPS010201038,백마1단지삼성,0104762330999,0319045805,1,2026-06-18,2026-06-18,0319045805_20260618141218.tif,"자동매칭(고신뢰,account_name,1.00): (일산)백마1단지삼성_아파트 / 백마1단지삼성(999동104호)"
BPS010201034,로스텔오피스텔,,0319048878,1,2026-06-12,2026-06-12,0319048878_20260612162433.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 로스텔오피스텔 / 엑셀사업장명:(일산)로스텔_오피스텔(128-80-14463) / 계좌명:종이세금계산서 로스텔오피스텔(1동9991호) [사업장번호:BPS010201034]"
BPS010201150,풍동 숲속마을 8단지,0102-11622-0999,0319050068,1,2026-06-17,2026-06-17,0319050068_20260617111459.tif,"자동매칭(고신뢰,site_name,0.95): (일산)풍동숲속마을8단지 주공_아파트 / 풍동숲속마을주공8단지(999동102호)"
BPD110112202,정발마을3단지,,0319052206,1,2026-06-08,2026-06-08,0319052206_20260608164323.tif,"자동매칭(고신뢰,site_name,1.00): 정발마을3단지 / 월정액 (당월에 입금하기. 미리입금X. 중순~월말에 입금)"
BPD110189489,정발마을1단지,,0319052231,2,2026-06-10,2026-06-10,0319052231_20260610155548.tif; 0319052231_20260610160411.tif,"자동매칭(고신뢰,account_name,1.00): (일산)정발건영1단지 / 정발마을1단지"
BPS010201156,숲속마을6단지두산위브,0101-93767-0999,0319053381,1,2026-06-18,2026-06-18,0319053381_20260618172559.tif,"자동매칭(고신뢰,site_name,1.00): (일산)숲속마을6단지 두산위브 / 숲속마을두산위브(999동101호)"
BPS010201110,대우로얄마트,,0319054053,1,2026-06-17,2026-06-17,0319054053_20260617145328.tif,"자동매칭(고신뢰,site_name,0.95): (일산)대우로얄마트_아파트 / 대우로얄마트상가번영회"
BPD010201094,풍동성원아파트,,0319054337,1,2026-06-23,2026-06-23,0319054337_20260623154127.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,0.96): (구리-퇴계원)성원아파트 / 남양주퇴계원성원(8888동4호) [사업장번호:BPD110106474] | Claude교차확인 추가후보(0.95): BPS010201094 (일산)풍동성원2차_아파트(계좌명:풍동성원아파트입자대표회의 청구년월을 ) 추정지역:일산"
BPS010201116,효성레제스오피스텔,,0319055966,1,2026-06-09,2026-06-09,0319055966_20260609140833.tif,"자동매칭(고신뢰,account_name,1.00): (일산)효성레제스 / 효성레제스오피스텔"
BPS010201107,현대에뜨레보오피스텔,0102781557777,0319057115,1,2026-06-19,2026-06-19,0319057115_20260619154301.tif,"자동매칭(고신뢰,account_name,1.00): (일산)현대에뜨레보_아파트 / 현대에뜨레보오피스텔(7777동102호)"
BPS010201151,숲속마을4단지 LH주거행복지원센터,0001-11624-0888,0319061980,1,2026-06-19,2026-06-19,0319061980_20260619110452.tif,"자동매칭(고신뢰,site_name,0.91): (일산)숲속마을4단지 / 풍동숲속마을주공4단지(888동1호)"
BPS010201057,백송마을 8단지,,0319072869,1,2026-06-19,2026-06-19,0319072869_20260619100332.tif,"자동매칭(고신뢰,account_name,1.00): (일산)백송8단지(선경)_아파트 / 백송마을8단지"
BPD110118885,풍동Y-haus,0001784437777,0319072977,1,2026-06-22,2026-06-22,0319072977_20260622141423.tif,"자동매칭(고신뢰,site_name,0.96): (일산)Y-HAUS(Y하우스) / 풍동Y-haus(7777동1호"
BPD110106138,강촌한양,0106-76554-0603,0319073944,1,2026-06-22,2026-06-22,0319073944_20260622112631.tif,"자동매칭(고신뢰,account_name,1.00): (일산)강촌한양6단지 / 강촌한양(603동106호)"
BPD110117579,어울림오피스텔,,0319074451,1,2026-06-25,2026-06-25,0319074451_20260625175438.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,0.92): (덕양) 성사동 어울림오피스텔9901호 / ㈜어울림엘에스 [사업장번호:BPD110117579]"
BPS010201095,에이스12차아파트,,0319075889,1,2026-06-12,2026-06-12,0319075889_20260612145139.tif,"자동매칭(고신뢰,account_name,1.00): (일산)풍동에이스12차아파트 무응3/26 / 에이스12차아파트"
,,,0319077442,2,2026-06-22,2026-06-22,0319077442_20260622132635.tif; 0319077442_20260622132842.tif,"복구불가(빈 팩스, 세로 40px) - 헤더 한 줄만 수신되고 본문 없음."
BPS010201089,지평빌딩,,0319077445,1,2026-06-26,2026-06-26,0319077445_20260626103718.tif,"매칭후보(확인필요,site_name,0.90): (일산)지평빌딩_3/6/9/12월 / (일산)지평프라자_3/6/9/12월 [사업장번호:BPS010201089]"
BPS010201139,성우아뜨리움,0001-74511-0888,0319078579,1,2026-06-22,2026-06-22,0319078579_20260622120030.tif,"자동매칭(고신뢰,site_name,1.00): (일산)성우아뜨리움 / 성우아뜨리움(8888동1호)"
